Scope;Construction Element Type;ID;Construction Element Family;ConstructionElementPart;BOQCategory;BOQ;BOQDescription;Quantity;Unit;UnitPrice;TotalCost;Length;Thickness;Height;X;Y;Z;Scope_ElementType_BOQ
PRS_RF_STR;Beam;47933;ConcreteWork;RC_Beam C-C/C-CW;Concrete;C30/37 for Beams;C30/37 for Beams;0.308;m3;99;30.492;4.1;0.3;0.25;10.4;22.15;11.525;PRS_RF_STR_Beam_C30/37forBeams
PRS_RF_STR;Beam;47951;ConcreteWork;RC_Beam C-C/C-CW;Concrete;C30/37 for Beams;C30/37 for Beams;0.308;m3;99;30.492;4.1;0.3;0.25;10.4;14.73;11.525;PRS_RF_STR_Beam_C30/37forBeams
PRS_RF_STR;Beam;47942;ConcreteWork;RC_Beam C-C/C-CW;Concrete;C30/37 for Beams;C30/37 for Beams;0.691;m3;99;68.409;5.12;0.3;0.45;8.15;18.44;11.425;PRS_RF_STR_Beam_C30/37forBeams
PRS_RF_STR;Beam;47960;ConcreteWork;RC_Beam C-C/C-CW;Concrete;C30/37 for Beams;C30/37 for Beams;0.691;m3;99;68.409;5.12;0.3;0.45;12.6;18.44;11.425;PRS_RF_STR_Beam_C30/37forBeams
PRS_L2_STR;Beam;46084;ConcreteWork;RC_Beam C-C/C-CW;Concrete;C30/37 for Beams;C30/37 for Beams;0.203;m3;99;20.097;2.325;0.25;0.35;41.825;2.762;8.825;PRS_L2_STR_Beam_C30/37forBeams
PRS_L2_STR;Beam;46111;ConcreteWork;RC_Beam C-C/C-CW;Concrete;C30/37 for Beams;C30/37 for Beams;0.203;m3;99;20.097;2.325;0.25;0.35;8.175;2.762;8.825;PRS_L2_STR_Beam_C30/37forBeams
PRS_L2_STR;Beam;42573;ConcreteWork;RC_Beam C-C/C-CW;Concrete;C30/37 for Beams;C30/37 for Beams;0.251;m3;99;24.849;2.868;0.25;0.35;25.275;11.149;8.825;PRS_L2_STR_Beam_C30/37forBeams
PRS_L2_STR;Beam;46057;ConcreteWork;RC_Beam C-C/C-CW;Concrete;C30/37 for Beams;C30/37 for Beams;0.315;m3;99;31.185;3.002;0.3;0.35;43.499;22.2;8.825;PRS_L2_STR_Beam_C30/37forBeams
PRS_L2_STR;Beam;46138;ConcreteWork;RC_Beam C-C/C-CW;Concrete;C30/37 for Beams;C30/37 for Beams;0.315;m3;99;31.185;3;0.3;0.35;6.5;22.2;8.825;PRS_L2_STR_Beam_C30/37forBeams
PRS_L2_STR;Beam;46039;ConcreteWork;RC_Beam C-C/C-CW;Concrete;C30/37 for Beams;C30/37 for Beams;0.341;m3;99;33.759;3.25;0.3;0.35;43.325;28.8;8.825;PRS_L2_STR_Beam_C30/37forBeams
PRS_L2_STR;Beam;46156;ConcreteWork;RC_Beam C-C/C-CW;Concrete;C30/37 for Beams;C30/37 for Beams;0.341;m3;99;33.759;3.25;0.3;0.35;6.675;28.8;8.825;PRS_L2_STR_Beam_C30/37forBeams
PRS_L2_STR;Beam;47378;ConcreteWork;RC_Beam C-B;Concrete;C30/37 for Beams;C30/37 for Beams;0.355;m3;99;35.145;4.05;0.3;0.3;18.379;2.243;8.85;PRS_L2_STR_Beam_C30/37forBeams
PRS_L2_STR;Beam;47365;ConcreteWork;RC_Beam C-B;Concrete;C30/37 for Beams;C30/37 for Beams;0.356;m3;99;35.244;4.044;0.3;0.3;31.619;2.246;8.85;PRS_L2_STR_Beam_C30/37forBeams
