Scope;ConstructionElementType;ID;Act_Code;Activity_Desc;BOQ;START;FINISH;Scope_ConstructionElementType;Scope_ConstructionElementType_BOQ;Cost Overrrun;Delay
PRS_BO_STR;Columns;PRS_BO_STR_CWIR01;CWIR01;Installing Reinf. Col. BO;Reinforcement for Columns;3/7/2015;3/13/2015;PRS_BO_STR_Columns;PRS_BO_STR_Columns_ReinforcementforColumns;YES;NO
PRS_BO_STR;Retaining Wall;PRS_BO_STR_CWIR02;CWIR02;Installing Reinf. Ret. Walls BO;Reinforcement for Ret.Walls;3/7/2015;3/13/2015;PRS_BO_STR_Retaining Wall;PRS_BO_STR_RetainingWall_ReinforcementforRet.Walls;YES;YES
PRS_BO_STR;ConcreteWall;PRS_BO_STR_CWIR03;CWIR03;Installing Reinf. Conc.Walls BO;Reinforcement for ConcreteWalls;3/7/2015;3/13/2015;PRS_BO_STR_ConcreteWall;PRS_BO_STR_ConcreteWall_ReinforcementforConcreteWalls;YES;YES
PRS_BO_STR;Columns;PRS_BO_STR_CWPC01;CWPC01;Pouring Concrete Col. BO;C30/37 for Columns & Con. Walls;3/23/2015;3/26/2015;PRS_BO_STR_Columns;PRS_BO_STR_Columns_C30/37forColumns&Con.Walls;YES;YES
PRS_BO_STR;Retaining Wall;PRS_BO_STR_CWPC02;CWPC02;Pouring Concrete Ret. Walls BO;C30/37 for Retaining Walls;3/23/2015;3/26/2015;PRS_BO_STR_Retaining Wall;PRS_BO_STR_RetainingWall_C30/37forRetainingWalls;YES;YES
PRS_BO_STR;ConcreteWall;PRS_BO_STR_CWPC03;CWPC03;Pouring Concrete Conc.Walls BO;C30/37 for Columns & Con. Walls;3/23/2015;3/26/2015;PRS_BO_STR_ConcreteWall;PRS_BO_STR_ConcreteWall_C30/37forColumns&Con.Walls;YES;YES
PRS_BO_STR;Columns;PRS_BO_STR_CWPF01;CWPF01;Placing FormWork Col. BO;Formwork for Columns,CW & RW;3/9/2015;3/19/2015;PRS_BO_STR_Columns;PRS_BO_STR_Columns_FormworkforColumns,CW&RW;YES;NO
PRS_BO_STR;Retaining Wall;PRS_BO_STR_CWPF02;CWPF02;Placing FormWork Ret. Walls BO;Formwork for Columns,CW & RW;3/9/2015;3/19/2015;PRS_BO_STR_Retaining Wall;PRS_BO_STR_RetainingWall_FormworkforColumns,CW&RW;YES;YES
PRS_BO_STR;Earthwork;PRS_BO_STR_EWEX01;EWEX01;Excavation AA;Excavation;1/20/2015;2/17/2015;PRS_BO_STR_Earthwork;PRS_BO_STR_Earthwork_Excavation;YES;YES
PRS_BO_STR;Mat Foundation;PRS_BO_STR_MFIR01;MFIR01;Installing Reinf. MF AA;Reinforcement for MatFoundation;2/21/2015;3/6/2015;PRS_BO_STR_Mat Foundation;PRS_BO_STR_MatFoundation_ReinforcementforMatFoundation;YES;NO
PRS_BO_STR;Slab;PRS_BO_STR_MFIR02;MFIR02;Installing Reinf MF AA;Reinforcement for Slabs;3/6/2015;3/11/2015;PRS_BO_STR_Slab;PRS_BO_STR_Slab_ReinforcementforSlabs;YES;NO
PRS_BO_STR;Mat Foundation;PRS_BO_STR_MFPC01;MFPC01;Pouring Concrete MF AA;C30/37 for Mat Foundation;3/6/2015;3/11/2015;PRS_BO_STR_Mat Foundation;PRS_BO_STR_MatFoundation_C30/37forMatFoundation;YES;NO
PRS_BO_STR;Slab;PRS_BO_STR_MFPC02;MFPC02;Pouring Concrete MF AA;C30/37 for Slabs;3/6/2015;3/11/2015;PRS_BO_STR_Slab;PRS_BO_STR_Slab_C30/37forSlabs;YES;NO
PRS_BO_STR;Mat Foundation;PRS_BO_STR_MFPF01;MFPF01;Placing FormWork MF AA;Formwork for MatFoundation;2/24/2015;2/25/2015;PRS_BO_STR_Mat Foundation;PRS_BO_STR_MatFoundation_FormworkforMatFoundation;YES;NO
PRS_BO_STR;Protection Layer;PRS_BO_STR_PWMF02;PWMF02;Pr.Mat Foundation & Retaining Walls AA;Bituminous WP Paint;1/28/2015;2/25/2015;PRS_BO_STR_Protection Layer;PRS_BO_STR_ProtectionLayer_BituminousWPPaint;YES;YES
PRS_BO_STR;Protection Layer;PRS_BO_STR_PWMF03;PWMF03;Pr.Mat Foundation & Retaining Walls AA;C20 for Blinding;1/28/2015;2/25/2015;PRS_BO_STR_Protection Layer;PRS_BO_STR_ProtectionLayer_C20forBlinding;YES;YES
PRS_BO_STR;Protection Layer;PRS_BO_STR_PWMF04;PWMF04;Pr.Mat Foundation & Retaining Walls AA;C20 for Leveling;1/28/2015;2/25/2015;PRS_BO_STR_Protection Layer;PRS_BO_STR_ProtectionLayer_C20forLeveling;YES;YES
PRS_BO_STR;Protection Layer;PRS_BO_STR_PWMF05;PWMF05;Pr.Mat Foundation & Retaining Walls AA;C20 for Shotcrete;1/28/2015;2/25/2015;PRS_BO_STR_Protection Layer;PRS_BO_STR_ProtectionLayer_C20forShotcrete;YES;YES
PRS_BO_STR;Protection Layer;PRS_BO_STR_PWMF06;PWMF06;Pr.Mat Foundation & Retaining Walls AA;Geotextile;1/28/2015;2/25/2015;PRS_BO_STR_Protection Layer;PRS_BO_STR_ProtectionLayer_Geotextile;YES;YES
PRS_BO_STR;Protection Layer;PRS_BO_STR_PWMF07;PWMF07;Pr.Mat Foundation & Retaining Walls AA;HDPE Drainage Membrane;1/28/2015;2/25/2015;PRS_BO_STR_Protection Layer;PRS_BO_STR_ProtectionLayer_HDPEDrainageMembrane;YES;YES
PRS_BO_STR;Protection Layer;PRS_BO_STR_PWMF08;PWMF08;Pr.Mat Foundation & Retaining Walls AA;Waterstop;1/28/2015;2/25/2015;PRS_BO_STR_Protection Layer;PRS_BO_STR_ProtectionLayer_Waterstop;YES;YES
PRS_BO_STR;Stair;PRS_BO_STR_SRIR01;SRIR01;Installing Reinf. Stairs BO;Reinforcement for Stairs;3/22/2015;3/23/2015;PRS_BO_STR_Stair;PRS_BO_STR_Stair_ReinforcementforStairs;;
PRS_BO_STR;Ramp;PRS_BO_STR_SRIR02;SRIR02;Installing Reinf. Ramps BO;Reinforcement for Slabs;3/22/2015;3/23/2015;PRS_BO_STR_Ramp;PRS_BO_STR_Ramp_ReinforcementforSlabs;;
PRS_BO_STR;Stair;PRS_BO_STR_SRPC01;SRPC01;Pouring Concrete Stairs BO;C30/37 for Stairs;3/31/2015;4/1/2015;PRS_BO_STR_Stair;PRS_BO_STR_Stair_C30/37forStairs;YES;YES
PRS_BO_STR;Ramp;PRS_BO_STR_SRPC02;SRPC02;Pouring Concrete Ramps BO;C30/37 for Slabs;3/31/2015;4/1/2015;PRS_BO_STR_Ramp;PRS_BO_STR_Ramp_C30/37forSlabs;YES;YES
PRS_BO_STR;Stair;PRS_BO_STR_SRPF01;SRPF01;Placing FormWork Stairs BO;Formwork for Stairs;3/21/2015;3/22/2015;PRS_BO_STR_Stair;PRS_BO_STR_Stair_FormworkforStairs;YES;NO
PRS_BO_STR;Ramp;PRS_BO_STR_SRPF02;SRPF02;Placing FormWork Ramps BO;Formwork for Slabs;3/21/2015;3/22/2015;PRS_BO_STR_Ramp;PRS_BO_STR_Ramp_FormworkforSlabs;YES;NO
PRS_L0_STR;Slab;PRS_L0_STR_BSIR01;BSIR01;Installing Reinf. Slabs L0;Reinforcement for Slabs;3/26/2015;3/31/2015;PRS_L0_STR_Slab;PRS_L0_STR_Slab_ReinforcementforSlabs;YES;YES
PRS_L0_STR;Beam;PRS_L0_STR_BSIR05;BSIR01;Installing Reinf. Beams L0;Reinforcement for Beams;3/26/2015;3/31/2015;PRS_L0_STR_Beam;PRS_L0_STR_Beam_ReinforcementforBeams;NO;YES
